Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 18:35:05,2022-05-10 18:35:06,0.685s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TC33_UserCancelCheckout,Chrome 101.0.4951.54,,,2022-05-10 18:35:06,2022-05-10 18:35:15,9.447s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-10 18:35:06,2022-05-10 18:35:07,1.158s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-10 18:35:07,2022-05-10 18:35:07,0.141s,PASSED
"navigateToUrl(""https://demo.midtrans.com/"")",Chrome 101.0.4951.54,,,2022-05-10 18:35:07,2022-05-10 18:35:08,0.541s,PASSED
"click(findTestObject(""3. Checkout/a_BUY NOW""))",Chrome 101.0.4951.54,,,2022-05-10 18:35:08,2022-05-10 18:35:08,0.491s,PASSED
"verifyElementText(findTestObject(""3. Checkout/Verify_ShoppingCart""), ""Shopping Cart  "")",Chrome 101.0.4951.54,,,2022-05-10 18:35:08,2022-05-10 18:35:09,0.555s,PASSED
"verifyElementText(findTestObject(""3. Checkout/Verify_TotalAmount""), ""20,000"")",Chrome 101.0.4951.54,,,2022-05-10 18:35:09,2022-05-10 18:35:09,0.310s,PASSED
"verifyElementText(findTestObject(""3. Checkout/Verify_CustomerDetail""), ""Customer Details"")",Chrome 101.0.4951.54,,,2022-05-10 18:35:09,2022-05-10 18:35:09,0.311s,PASSED
"setText(findTestObject(""3. Checkout/Field_Name""), Name)",Chrome 101.0.4951.54,,,2022-05-10 18:35:09,2022-05-10 18:35:10,0.683s,PASSED
"setText(findTestObject(""3. Checkout/Field_Email""), Email)",Chrome 101.0.4951.54,,,2022-05-10 18:35:10,2022-05-10 18:35:11,0.728s,PASSED
"setText(findTestObject(""3. Checkout/Field_Phone""), Phone)",Chrome 101.0.4951.54,,,2022-05-10 18:35:11,2022-05-10 18:35:11,0.699s,PASSED
"setText(findTestObject(""3. Checkout/Field_City""), City)",Chrome 101.0.4951.54,,,2022-05-10 18:35:11,2022-05-10 18:35:12,0.672s,PASSED
"setText(findTestObject(""3. Checkout/Field_Address""), Address)",Chrome 101.0.4951.54,,,2022-05-10 18:35:12,2022-05-10 18:35:13,0.708s,PASSED
"setText(findTestObject(""3. Checkout/Field_PostalCode""), PostalCode)",Chrome 101.0.4951.54,,,2022-05-10 18:35:13,2022-05-10 18:35:13,0.656s,PASSED
"click(findTestObject(""3. Checkout/Button_Cancel""))",Chrome 101.0.4951.54,,,2022-05-10 18:35:13,2022-05-10 18:35:14,0.343s,PASSED
"verifyElementVisible(findTestObject(""1. Homepage/Header_MidtransPillow_Homepage""))",Chrome 101.0.4951.54,,,2022-05-10 18:35:14,2022-05-10 18:35:14,0.548s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 18:35:14,2022-05-10 18:35:15,0.691s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TC32_UserSuccessCheckout,Chrome 101.0.4951.54,,,2022-05-10 18:35:15,2022-05-10 18:35:26,11.331s,PASSED
