Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"total2 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_Summary""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:14:26,2022-05-10 19:14:27,0.412s,PASSED
"verifyEqual(total1, total2, STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:14:27,2022-05-10 19:14:27,0.002s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Name_Summary""), Name)",Chrome 101.0.4951.54,,,2022-05-10 19:14:27,2022-05-10 19:14:27,0.424s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Addess_Summary""), Address_2)",Chrome 101.0.4951.54,,,2022-05-10 19:14:27,2022-05-10 19:14:28,0.412s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Phone_Summary""), Phone_2)",Chrome 101.0.4951.54,,,2022-05-10 19:14:28,2022-05-10 19:14:28,0.411s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Up""))",Chrome 101.0.4951.54,,,2022-05-10 19:14:28,2022-05-10 19:14:29,0.479s,PASSED
"click(findTestObject(""4. Payment/a_Button_HowToPay""))",Chrome 101.0.4951.54,,,2022-05-10 19:14:29,2022-05-10 19:14:29,0.462s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_eWallet/Verify_Step1_eWallet""), ""Open your Shopee or other e-wallet app."")",Chrome 101.0.4951.54,,,2022-05-10 19:14:29,2022-05-10 19:14:29,0.416s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_eWallet/Verify_Step2_eWallet""), ""Scan the QR code on your monitor."")",Chrome 101.0.4951.54,,,2022-05-10 19:14:29,2022-05-10 19:14:30,0.414s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_eWallet/Verify_Step3_eWallet""), ""Confirm payment in the app."")",Chrome 101.0.4951.54,,,2022-05-10 19:14:30,2022-05-10 19:14:30,0.414s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_eWallet/Verify_Step4_eWallet""), ""Payment complete."")",Chrome 101.0.4951.54,,,2022-05-10 19:14:30,2022-05-10 19:14:31,0.412s,PASSED
"click(findTestObject(""4. Payment/Payment_ATMBankTransfer/Button_IHavePaid""))",Chrome 101.0.4951.54,,,2022-05-10 19:14:31,2022-05-10 19:14:31,0.460s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_YourTrxBeingProcess""), ""Your transaction is being processed"")",Chrome 101.0.4951.54,,,2022-05-10 19:14:31,2022-05-10 19:14:32,0.409s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_Success_TotalAmount""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:14:32,2022-05-10 19:14:32,0.412s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_Success_TextInfo1""), ""If you make a payment using an e-wallet or a credit/debit card, you have completed your payment."")",Chrome 101.0.4951.54,,,2022-05-10 19:14:32,2022-05-10 19:14:32,0.427s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_Success_TextInfo2""), ""If you made a payment via bank transfer, please continue the payment process."")",Chrome 101.0.4951.54,,,2022-05-10 19:14:32,2022-05-10 19:14:33,0.462s,PASSED
"click(findTestObject(""4. Payment/Payment_CC/Button_BackToMerchantsWeb""))",Chrome 101.0.4951.54,,,2022-05-10 19:14:33,2022-05-10 19:14:33,0.490s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_BookedPayment""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:14:33,2022-05-10 19:14:34,0.452s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 19:14:34,2022-05-10 19:14:35,0.719s,PASSED
